BDM编码,岗位编码,ExternalId
16701,SH131011023,SH131011023SH131011023
16867,SH131011023,SH131011023SH131011023
16830,SH131011023,SH131011023SH131011023
23387,SH131011023,SH131011023SH131011023
20534,ZJ131011001,ZJ131011001ZJ131011001
20022,ZJ131011001,ZJ131011001ZJ131011001
30326,ZJ131011001,ZJ131011001ZJ131011001
20540,ZJ131011002,ZJ131011002ZJ131011002
20151,ZJ131011002,ZJ131011002ZJ131011002
19978,ZJ131011002,ZJ131011002ZJ131011002
20071,ZJ131011002,ZJ131011002ZJ131011002
20078,ZJ131011003,ZJ131011003ZJ131011003
20080,ZJ131011003,ZJ131011003ZJ131011003
20577,ZJ131011003,ZJ131011003ZJ131011003
20481,ZJ131011003,ZJ131011003ZJ131011003
20482,ZJ131011003,ZJ131011003ZJ131011003
20558,ZJ131011004,ZJ131011004ZJ131011004
20578,ZJ131011004,ZJ131011004ZJ131011004
21079,ZJ131011005,ZJ131011005ZJ131011005
20064,ZJ131011004,ZJ131011004ZJ131011004
21080,ZJ131011005,ZJ131011005ZJ131011005
20404,ZJ131011004,ZJ131011004ZJ131011004
20571,ZJ131011005,ZJ131011005ZJ131011005
20140,ZJ131011006,ZJ131011006ZJ131011006
20553,ZJ131011006,ZJ131011006ZJ131011006
20032,ZJ131011006,ZJ131011006ZJ131011006
20139,ZJ131011006,ZJ131011006ZJ131011006
20411,ZJ131011006,ZJ131011006ZJ131011006
20300,ZJ131011006,ZJ131011006ZJ131011006
20584,ZJ131011006,ZJ131011006ZJ131011006
20068,ZJ131011007,ZJ131011007ZJ131011007
20216,ZJ131011010,ZJ131011010ZJ131011010
20081,ZJ131011007,ZJ131011007ZJ131011007
20067,ZJ131011007,ZJ131011007ZJ131011007
20061,ZJ131011008,ZJ131011008ZJ131011008
20572,ZJ131011008,ZJ131011008ZJ131011008
20045,ZJ131011008,ZJ131011008ZJ131011008
20066,ZJ131011009,ZJ131011009ZJ131011009
20535,ZJ131011009,ZJ131011009ZJ131011009
20536,ZJ131011009,ZJ131011009ZJ131011009
20070,ZJ131011007,ZJ131011007ZJ131011007
20084,ZJ131011007,ZJ131011007ZJ131011007
20087,ZJ131011010,ZJ131011010ZJ131011010
20538,ZJ131011010,ZJ131011010ZJ131011010
20554,ZJ131011011,ZJ131011011ZJ131011011
20569,ZJ131011011,ZJ131011011ZJ131011011
20570,ZJ131011011,ZJ131011011ZJ131011011
20065,ZJ131011011,ZJ131011011ZJ131011011
20115,ZJ131011012,ZJ131011012ZJ131011012
20116,ZJ131011012,ZJ131011012ZJ131011012
20124,ZJ131011012,ZJ131011012ZJ131011012
20125,ZJ131011012,ZJ131011012ZJ131011012
22556,ZJ131011012,ZJ131011012ZJ131011012
20120,ZJ131011012,ZJ131011012ZJ131011012
19972,ZJ131011012,ZJ131011012ZJ131011012
19960,ZJ131011012,ZJ131011012ZJ131011012
20001,ZJ131011012,ZJ131011012ZJ131011012
20266,ZJ131011013,ZJ131011013ZJ131011013
20267,ZJ131011013,ZJ131011013ZJ131011013
20259,ZJ131011013,ZJ131011013ZJ131011013
20520,ZJ131011013,ZJ131011013ZJ131011013
20280,ZJ131011014,ZJ131011014ZJ131011014
21081,ZJ131011014,ZJ131011014ZJ131011014
20017,ZJ131011014,ZJ131011014ZJ131011014
20290,ZJ131011014,ZJ131011014ZJ131011014
20284,ZJ131011015,ZJ131011015ZJ131011015
20278,ZJ131011015,ZJ131011015ZJ131011015
19990,ZJ131011015,ZJ131011015ZJ131011015
19987,ZJ131011015,ZJ131011015ZJ131011015
20268,ZJ131011016,ZJ131011016ZJ131011016
20288,ZJ131011017,ZJ131011017ZJ131011017
20476,ZJ131011016,ZJ131011016ZJ131011016
20264,ZJ131011016,ZJ131011016ZJ131011016
20248,ZJ131011017,ZJ131011017ZJ131011017
20274,ZJ131011016,ZJ131011016ZJ131011016
22571,ZJ131011017,ZJ131011017ZJ131011017
20598,ZJ131011017,ZJ131011017ZJ131011017
20357,ZJ131011018,ZJ131011018ZJ131011018
20606,ZJ131011018,ZJ131011018ZJ131011018
20350,ZJ131011018,ZJ131011018ZJ131011018
20362,ZJ131011018,ZJ131011018ZJ131011018
20348,ZJ131011018,ZJ131011018ZJ131011018
20370,ZJ131011018,ZJ131011018ZJ131011018
20173,ZJ131011019,ZJ131011019ZJ131011019
20171,ZJ131011019,ZJ131011019ZJ131011019
20499,ZJ131011019,ZJ131011019ZJ131011019
20009,ZJ131011019,ZJ131011019ZJ131011019
20512,ZJ131011019,ZJ131011019ZJ131011019
20461,ZJ131011020,ZJ131011020ZJ131011020
20450,ZJ131011020,ZJ131011020ZJ131011020
20235,ZJ131011020,ZJ131011020ZJ131011020
19968,ZJ131011020,ZJ131011020ZJ131011020
20460,ZJ131011021,ZJ131011021ZJ131011021
20451,ZJ131011021,ZJ131011021ZJ131011021
20507,ZJ131011021,ZJ131011021ZJ131011021
20011,ZJ131011021,ZJ131011021ZJ131011021
20439,ZJ131011022,ZJ131011022ZJ131011022
21078,ZJ131011022,ZJ131011022ZJ131011022
20201,ZJ131011022,ZJ131011022ZJ131011022
20198,ZJ131011022,ZJ131011022ZJ131011022
20440,ZJ131011023,ZJ131011023ZJ131011023
20467,ZJ131011023,ZJ131011023ZJ131011023
20338,ZJ131011023,ZJ131011023ZJ131011023
20303,ZJ131011023,ZJ131011023ZJ131011023
20565,ZJ131011024,ZJ131011024ZJ131011024
20393,ZJ131011024,ZJ131011024ZJ131011024
20385,ZJ131011024,ZJ131011024ZJ131011024
20379,ZJ131011024,ZJ131011024ZJ131011024
20421,ZJ131011024,ZJ131011024ZJ131011024
20566,ZJ131011024,ZJ131011024ZJ131011024
20210,ZJ131011025,ZJ131011025ZJ131011025
20209,ZJ131011025,ZJ131011025ZJ131011025
20316,ZJ131011025,ZJ131011025ZJ131011025
20181,ZJ131011025,ZJ131011025ZJ131011025
20180,ZJ131011025,ZJ131011025ZJ131011025
20182,ZJ131011025,ZJ131011025ZJ131011025
20162,ZJ131011019,ZJ131011019ZJ131011019
20269,ZJ131011016,ZJ131011016ZJ131011016
20285,ZJ131011017,ZJ131011017ZJ131011017
20516,ZJ131011013,ZJ131011013ZJ131011013
3197,GD131011001,GD131011001GD131011001
3229,GD131011001,GD131011001GD131011001
3314,GD131011001,GD131011001GD131011001
3279,GD131011002,GD131011002GD131011002
3281,GD131011002,GD131011002GD131011002
3282,GD131011002,GD131011002GD131011002
3380,GD131011002,GD131011002GD131011002
3283,GD131011002,GD131011002GD131011002
3381,GD131011002,GD131011002GD131011002
3351,GD131011003,GD131011003GD131011003
3356,GD131011003,GD131011003GD131011003
2984,GD131011001,GD131011001GD131011001
3223,GD131011003,GD131011003GD131011003
2985,GD131011001,GD131011001GD131011001
3144,GD131011003,GD131011003GD131011003
3346,GD131011004,GD131011004GD131011004
3357,GD131011004,GD131011004GD131011004
3367,GD131011004,GD131011004GD131011004
3272,GD131011004,GD131011004GD131011004
3368,GD131011004,GD131011004GD131011004
3143,GD131011005,GD131011005GD131011005
3309,GD131011005,GD131011005GD131011005
3365,GD131011005,GD131011005GD131011005
3366,GD131011005,GD131011005GD131011005
3288,GD131011006,GD131011006GD131011006
23725,GD131011006,GD131011006GD131011006
23458,GD131011006,GD131011006GD131011006
3079,GD131011006,GD131011006GD131011006
3287,GD131011006,GD131011006GD131011006
3299,GD131011006,GD131011006GD131011006
3382,GD131011006,GD131011006GD131011006
3939,GD131011007,GD131011007GD131011007
21013,GD131011008,GD131011008GD131011008
3307,GD131011007,GD131011007GD131011007
3932,GD131011008,GD131011008GD131011008
3933,GD131011008,GD131011008GD131011008
21014,GD131011011,GD131011011GD131011011
3934,GD131011009,GD131011009GD131011009
3456,GD131011009,GD131011009GD131011009
3330,GD131011009,GD131011009GD131011009
3936,GD131011010,GD131011010GD131011010
3982,GD131011009,GD131011009GD131011009
21220,GD131011010,GD131011010GD131011010
3564,GD131011011,GD131011011GD131011011
3561,GD131011011,GD131011011GD131011011
27295,GD131011011,GD131011011GD131011011
3137,GD131011011,GD131011011GD131011011
23828,GD131011012,GD131011012GD131011012
21029,GD131011012,GD131011012GD131011012
3369,GD131011012,GD131011012GD131011012
3241,GD131011012,GD131011012GD131011012
21030,GD131011013,GD131011013GD131011013
3563,GD131011013,GD131011013GD131011013
3576,GD131011013,GD131011013GD131011013
3097,GD131011014,GD131011014GD131011014
3110,GD131011014,GD131011014GD131011014
3119,GD131011015,GD131011015GD131011015
3094,GD131011015,GD131011015GD131011015
3092,GD131011015,GD131011015GD131011015
3566,GD131011016,GD131011016GD131011016
3570,GD131011016,GD131011016GD131011016
3099,GD131011016,GD131011016GD131011016
23900,GD131011016,GD131011016GD131011016
3116,GD131011017,GD131011017GD131011017
21176,GD131011017,GD131011017GD131011017
21177,GD131011017,GD131011017GD131011017
21180,GD131011017,GD131011017GD131011017
21182,GD131011017,GD131011017GD131011017
3785,GD131011017,GD131011017GD131011017
3947,GD131011018,GD131011018GD131011018
3967,GD131011018,GD131011018GD131011018
3978,GD131011018,GD131011018GD131011018
3979,GD131011018,GD131011018GD131011018
3935,GD131011018,GD131011018GD131011018
4001,GD131011018,GD131011018GD131011018
3464,GD131011019,GD131011019GD131011019
3465,GD131011019,GD131011019GD131011019
21219,GD131011019,GD131011019GD131011019
3798,GD131011019,GD131011019GD131011019
3474,GD131011019,GD131011019GD131011019
3409,GD131011019,GD131011019GD131011019
3193,GD131011020,GD131011020GD131011020
3230,GD131011020,GD131011020GD131011020
3910,GD131011020,GD131011020GD131011020
3897,GD131011020,GD131011020GD131011020
3900,GD131011020,GD131011020GD131011020
24951,GD131011020,GD131011020GD131011020
3720,GD131011021,GD131011021GD131011021
3721,GD131011021,GD131011021GD131011021
3724,GD131011021,GD131011021GD131011021
3752,GD131011022,GD131011022GD131011022
3745,GD131011022,GD131011022GD131011022
3748,GD131011022,GD131011022GD131011022
2968,GD131011023,GD131011023GD131011023
3714,GD131011023,GD131011023GD131011023
28486,GD131011023,GD131011023GD131011023
3449,GD131011024,GD131011024GD131011024
3452,GD131011024,GD131011024GD131011024
3016,GD131011024,GD131011024GD131011024
3439,GD131011024,GD131011024GD131011024
3040,GD131011024,GD131011024GD131011024
3047,GD131011024,GD131011024GD131011024
24015,GD131011024,GD131011024GD131011024
3608,GD131011025,GD131011025GD131011025
3621,GD131011025,GD131011025GD131011025
3609,GD131011025,GD131011025GD131011025
3607,GD131011025,GD131011025GD131011025
3637,GD131011025,GD131011025GD131011025
2410,FJ131011001,FJ131011001FJ131011001
2319,FJ131011001,FJ131011001FJ131011001
2480,FJ131011001,FJ131011001FJ131011001
2367,FJ131011001,FJ131011001FJ131011001
2416,FJ131011001,FJ131011001FJ131011001
21044,FJ131011001,FJ131011001FJ131011001
2428,FJ131011002,FJ131011002FJ131011002
2302,FJ131011002,FJ131011002FJ131011002
2277,FJ131011002,FJ131011002FJ131011002
2427,FJ131011002,FJ131011002FJ131011002
2507,FJ131011002,FJ131011002FJ131011002
2355,FJ131011002,FJ131011002FJ131011002
2321,FJ131011003,FJ131011003FJ131011003
21255,FJ131011003,FJ131011003FJ131011003
21033,FJ131011003,FJ131011003FJ131011003
2442,FJ131011003,FJ131011003FJ131011003
Temp008,FJ131011003,FJ131011003FJ131011003
21032,FJ131011004,FJ131011004FJ131011004
2470,FJ131011004,FJ131011004FJ131011004
2467,FJ131011004,FJ131011004FJ131011004
2553,FJ131011004,FJ131011004FJ131011004
2293,FJ131011005,FJ131011005FJ131011005
2344,FJ131011005,FJ131011005FJ131011005
2327,FJ131011005,FJ131011005FJ131011005
2323,FJ131011005,FJ131011005FJ131011005
2317,FJ131011006,FJ131011006FJ131011006
23565,FJ131011006,FJ131011006FJ131011006
21043,FJ131011006,FJ131011006FJ131011006
2287,FJ131011006,FJ131011006FJ131011006
2509,FJ131011007,FJ131011007FJ131011007
2540,FJ131011007,FJ131011007FJ131011007
2512,FJ131011007,FJ131011007FJ131011007
2456,FJ131011008,FJ131011008FJ131011008
2311,FJ131011008,FJ131011008FJ131011008
21041,FJ131011008,FJ131011008FJ131011008
21221,FJ131011008,FJ131011008FJ131011008
2404,FJ131011008,FJ131011008FJ131011008
21034,FJ131011009,FJ131011009FJ131011009
2315,FJ131011009,FJ131011009FJ131011009
2388,FJ131011009,FJ131011009FJ131011009
2390,FJ131011009,FJ131011009FJ131011009
2528,FJ131011010,FJ131011010FJ131011010
2529,FJ131011010,FJ131011010FJ131011010
2531,FJ131011010,FJ131011010FJ131011010
2530,FJ131011010,FJ131011010FJ131011010
21042,FJ131011011,FJ131011011FJ131011011
2538,FJ131011011,FJ131011011FJ131011011
2539,FJ131011011,FJ131011011FJ131011011
30118,FJ131011011,FJ131011011FJ131011011
8774,UB131011001,UB131011001UB131011001
8698,UB131011001,UB131011001UB131011001
8728,UB131011001,UB131011001UB131011001
8494,UB131011001,UB131011001UB131011001
8495,UB131011002,UB131011002UB131011002
8584,UB131011002,UB131011002UB131011002
8573,UB131011002,UB131011002UB131011002
8854,UB131011002,UB131011002UB131011002
8640,UB131011005,UB131011005UB131011005
8641,UB131011005,UB131011005UB131011005
8692,UB131011003,UB131011003UB131011003
8773,UB131011003,UB131011003UB131011003
8489,UB131011004,UB131011004UB131011004
8469,UB131011004,UB131011004UB131011004
8735,UB131011004,UB131011004UB131011004
8487,UB131011004,UB131011004UB131011004
8831,UB131011003,UB131011003UB131011003
8822,UB131011003,UB131011003UB131011003
31326,UB131011005,UB131011005UB131011005
20979,UB131011005,UB131011005UB131011005
8734,UB131011006,UB131011006UB131011006
8730,UB131011006,UB131011006UB131011006
8486,UB131011006,UB131011006UB131011006
20980,UB131011006,UB131011006UB131011006
8868,UB131011006,UB131011006UB131011006
8880,UB131011006,UB131011006UB131011006
11668,JX131011001,JX131011001JX131011001
11609,JX131011001,JX131011001JX131011001
11621,JX131011001,JX131011001JX131011001
11708,JX131011001,JX131011001JX131011001
21036,JX131011001,JX131011001JX131011001
21035,JX131011001,JX131011001JX131011001
11711,JX131011001,JX131011001JX131011001
11616,JX131011001,JX131011001JX131011001
9644,UN131011001,UN131011001UN131011001
9053,UN131011001,UN131011001UN131011001
9005,UN131011001,UN131011001UN131011001
8997,UN131011002,UN131011002UN131011002
9004,UN131011002,UN131011002UN131011002
9642,UN131011002,UN131011002UN131011002
27151,UN131011002,UN131011002UN131011002
8989,UN131011003,UN131011003UN131011003
9000,UN131011003,UN131011003UN131011003
9032,UN131011003,UN131011003UN131011003
9643,UN131011003,UN131011003UN131011003
9133,UN131011004,UN131011004UN131011004
9247,UN131011004,UN131011004UN131011004
9423,UN131011004,UN131011004UN131011004
9422,UN131011004,UN131011004UN131011004
9236,UN131011005,UN131011005UN131011005
9400,UN131011005,UN131011005UN131011005
9618,UN131011005,UN131011005UN131011005
9318,UN131011005,UN131011005UN131011005
4128,GX131011001,GX131011001GX131011001
4160,GX131011001,GX131011001GX131011001
24209,GX131011001,GX131011001GX131011001
4134,GX131011002,GX131011002GX131011002
4107,GX131011002,GX131011002GX131011002
4325,GX131011002,GX131011002GX131011002
4155,GX131011002,GX131011002GX131011002
4136,GX131011002,GX131011002GX131011002
4334,GX131011001,GX131011001GX131011001
4080,GX131011002,GX131011002GX131011002
4195,GX131011003,GX131011003GX131011003
4277,GX131011003,GX131011003GX131011003
4282,GX131011003,GX131011003GX131011003
4285,GX131011003,GX131011003GX131011003
4272,GX131011003,GX131011003GX131011003
4154,GX131011003,GX131011003GX131011003
19473,YN131011001,YN131011001YN131011001
19506,YN131011001,YN131011001YN131011001
19869,YN131011001,YN131011001YN131011001
21073,YN131011001,YN131011001YN131011001
19804,YN131011001,YN131011001YN131011001
19505,YN131011002,YN131011002YN131011002
19864,YN131011002,YN131011002YN131011002
19917,YN131011002,YN131011002YN131011002
19503,YN131011002,YN131011002YN131011002
5012,AN131011001,AN131011001AN131011001
5033,AN131011001,AN131011001AN131011001
5081,AN131011001,AN131011001AN131011001
5083,AN131011001,AN131011001AN131011001
5097,AN131011001,AN131011001AN131011001
4374,GX131011001,GX131011001GX131011001
4012,GX131011001,GX131011001GX131011001
4445,GX131011001,GX131011001GX131011001
4450,GX131011002,GX131011002GX131011002
4294,GX131011003,GX131011003GX131011003
4286,GX131011003,GX131011003GX131011003
19897,YN131011002,YN131011002YN131011002
2457,FJ131011008,FJ131011008FJ131011008
8725,UB131011003,UB131011003UB131011003
8752,UB131011005,UB131011005UB131011005
8356,UB131011006,UB131011006UB131011006
8690,UB131011005,UB131011005UB131011005
8733,UB131011003,UB131011003UB131011003
21184,GD131011016,GD131011016GD131011016
31098,GD131011003,GD131011003GD131011003
3588,GD131011003,GD131011003GD131011003
3589,GD131011003,GD131011003GD131011003
21016,SD131011004,SD131011004SD131011004
21004,JS131011005,JS131011005JS131011005
21039,AH131011001,AH131011001AH131011001
1036,AH131011001,AH131011001AH131011001
1052,AH131011001,AH131011001AH131011001
1053,AH131011001,AH131011001AH131011001
1075,AH131011003,AH131011003AH131011003
1076,AH131011002,AH131011002AH131011002
1080,AH131011003,AH131011003AH131011003
1094,AH131011004,AH131011004AH131011004
1098,AH131011004,AH131011004AH131011004
1100,AH131011004,AH131011004AH131011004
1117,AH131011005,AH131011005AH131011005
1140,AH131011005,AH131011005AH131011005
1141,AH131011005,AH131011005AH131011005
11258,JS131011021,JS131011021JS131011021
13583,SD131011009,SD131011009SD131011009
13587,SD131011009,SD131011009SD131011009
10706,JS131011026,JS131011026JS131011026
10708,JS131011026,JS131011026JS131011026
21134,JS131011026,JS131011026JS131011026
10709,JS131011026,JS131011026JS131011026
10334,JS131011015,JS131011015JS131011015
10335,JS131011016,JS131011016JS131011016
10342,JS131011015,JS131011015JS131011015
10336,JS131011016,JS131011016JS131011016
10338,JS131011015,JS131011015JS131011015
10341,JS131011016,JS131011016JS131011016
1154,AH131011002,AH131011002AH131011002
1166,AH131011004,AH131011004AH131011004
11269,JS131011021,JS131011021JS131011021
11140,JS131011018,JS131011018JS131011018
11414,JS131011025,JS131011025JS131011025
13633,SD131011013,SD131011013SD131011013
10415,JS131011020,JS131011020JS131011020
10474,JS131011003,JS131011003JS131011003
11292,JS131011021,JS131011021JS131011021
13679,SD131011008,SD131011008SD131011008
11304,JS131011021,JS131011021JS131011021
10423,JS131011020,JS131011020JS131011020
10434,JS131011020,JS131011020JS131011020
10644,JS131011012,JS131011012JS131011012
10649,JS131011012,JS131011012JS131011012
21281,AH131011003,AH131011003AH131011003
1287,AH131011002,AH131011002AH131011002
1288,AH131011002,AH131011002AH131011002
24884,AH131011002,AH131011002AH131011002
1289,AH131011003,AH131011003AH131011003
6360,EN131011005,EN131011005EN131011005
30636,EN131011005,EN131011005EN131011005
6419,EN131011001,EN131011001EN131011001
6503,EN131011003,EN131011003EN131011003
21354,EN131011002,EN131011002EN131011002
6519,EN131011003,EN131011003EN131011003
6530,EN131011003,EN131011003EN131011003
6531,EN131011004,EN131011004EN131011004
13748,SD131011013,SD131011013SD131011013
10365,JS131011022,JS131011022JS131011022
10371,JS131011022,JS131011022JS131011022
10373,JS131011022,JS131011022JS131011022
10377,JS131011022,JS131011022JS131011022
10379,JS131011022,JS131011022JS131011022
10381,JS131011022,JS131011022JS131011022
10383,JS131011022,JS131011022JS131011022
1353,AH131011005,AH131011005AH131011005
1363,AH131011005,AH131011005AH131011005
1397,AH131011001,AH131011001AH131011001
1414,AH131011001,AH131011001AH131011001
13783,SD131011002,SD131011002SD131011002
21021,SD131011010,SD131011010SD131011010
13827,SD131011009,SD131011009SD131011009
13828,SD131011011,SD131011011SD131011011
13850,SD131011010,SD131011010SD131011010
13851,SD131011010,SD131011010SD131011010
13882,SD131011013,SD131011013SD131011013
13900,SD131011013,SD131011013SD131011013
11311,JS131011021,JS131011021JS131011021
10544,JS131011007,JS131011007JS131011007
11418,JS131011025,JS131011025JS131011025
10531,JS131011007,JS131011007JS131011007
21135,JS131011005,JS131011005JS131011005
10493,JS131011002,JS131011002JS131011002
11144,JS131011019,JS131011019JS131011019
11149,JS131011018,JS131011018JS131011018
11150,JS131011018,JS131011018JS131011018
10501,JS131011001,JS131011001JS131011001
10502,JS131011003,JS131011003JS131011003
11385,JS131011008,JS131011008JS131011008
21126,JS131011026,JS131011026JS131011026
21127,JS131011026,JS131011026JS131011026
21006,JS131011008,JS131011008JS131011008
11386,JS131011008,JS131011008JS131011008
10503,JS131011023,JS131011023JS131011023
10504,JS131011002,JS131011002JS131011002
